text,bullying_label
Imagine how many have done this already and got away with entering ,0
JW filed a FOIA lawsuit against State Treasury seeking answers on Obama Admin's $400 million cash pymt to Iran. ,0
I am curious as to how many priests impregnanted young girls and used abortion to ,0
"Should read blames Obama, diminishes the intelligence community and slams CNN and ",0
"Global Payroll Specialist Assistant Manager, Dublin - ",0
White gay: but I thought the b in lgbt stands for babadook ,1
Dear you - your husband worked the rescue boats in the Med. Plse may we chat off record katie@katiehopkins.co.uk ,0
They were conducted by two priests to a bench placed in front of the house in the open ,0
No body can convince me that Barak Hussein Obama was working to weaken America since his ideology is well known and it is compared to ,0
Trump: Obama Knew About Election Meddling Back In Early August And Did Nothi (pls ️️ ,0
It's a sign of the current weakness of UK liberal centre that it's most popular commentators such as are ,0
has just given a speech exposing the flaws in our the PM's approach to the Brexit negotiations here> ,0
Media never show anything against Maulvees Priests as dey have enough plots 2 defame Hindu saints. ,0
Bitch can't sleeep at all. Too much on my ,0
'09 Obama - Listen up Racists Elections have consequences. Peaceful transition of power! If Dem's aren't Seditious… ,0
"Leave Hobby Lobby alone! God expressly stated no birth control and no gay marriage, but never said anything about ",0
bullshit asymmetry post feat. ,0
I'm a political opinionated patriotic secular liberal center kind of guy .... and I choose to speak for… ,0
yeah this must hurt like a bitch ,0
"Pearl: To begin, this Holopearl will be your opponent. Holopearl: Level zero beginner set! Do you wish to engage in ",0
A huge legal 'flaw' in Brexit could make it vulnerable to a court challenge ,0
Let's kill the childish lie that Labour supports the Tories on ,0
Best thing for is back defending paedophile priests. Pell needs his help RIGHT now ,0
Third sign in three days Brexit is hurting the economy ,0
"Donald Trump Is Not a ""Legitimate President"" JohnLewis is a TRAITOR to AMERICANS who voted for DJT! ",1
Why you talking to your daddy like an underpaid ,0
"Hearts in Ireland | Ian Cathro talks Perry Kitchen, midfield reinforcements & Kyle Lafferty debut… ",0
Good morning! Intense week of press coverage for The new Hotel on ,0
Lived experience vs ideology - Caller Tells Katie: Working With Migrants Changed My 'Liberal' Husband ,0
Jdb Justin ,0
Death of talented teen footballer (16) from 'cocaine-like' designer drug is first recorded in Ireland… ,0
BBC News - Exorcism in Italy a job 'too scary' for young priests ,0
If Obama did ANY of the lunatic things has done since taking office the would have literally set the White ,0
"It's back with Southern Ireland, where it ",0
Obsessed with Obama who's presidency history will see as remarkable. 0 convictions from the black POTUS. How ,0
gay ,0
Raising real concerns on behalf of and but no assurance or answer from govt ,0
Trump administration begins pushing Obama’s tax policies ,0
A beautiful spot next to Dromoland Castle. Co Clare Ireland. ,0
'First they came for Katie Hopkins' was a joke but 'then they came for Luciana and I did not speak out for ,0
Boris Johnson is an idiot.your version of Donald Trump.We don't care what he thinks or ,1
