text,bullying_label,processed_text
Imagine how many have done this already and got away with entering ,0,imagine how many have done this already and got away with entering
JW filed a FOIA lawsuit against State Treasury seeking answers on Obama Admin's $400 million cash pymt to Iran. ,0,jw filed a foia lawsuit against state treasury seeking answers on obama admins 400 million cash pymt to iran.
I am curious as to how many priests impregnanted young girls and used abortion to ,0,i am curious as to how many priests impregnanted young girls and used abortion to
"Should read blames Obama, diminishes the intelligence community and slams CNN and ",0,"should read blames obama, diminishes the intelligence community and slams cnn and"
"Global Payroll Specialist Assistant Manager, Dublin - ",0,"global payroll specialist assistant manager, dublin"
White gay: but I thought the b in lgbt stands for babadook ,1,white gay but i thought the b in lgbt stands for babadook
Dear you - your husband worked the rescue boats in the Med. Plse may we chat off record katie@katiehopkins.co.uk ,0,dear you your husband worked the rescue boats in the med. plse may we chat off record katie.co.uk
They were conducted by two priests to a bench placed in front of the house in the open ,0,they were conducted by two priests to a bench placed in front of the house in the open
No body can convince me that Barak Hussein Obama was working to weaken America since his ideology is well known and it is compared to ,0,no body can convince me that barak hussein obama was working to weaken america since his ideology is well known and it is compared to
Trump: Obama Knew About Election Meddling Back In Early August And Did Nothi (pls ️️ ,0,trump obama knew about election meddling back in early august and did nothi pls
It's a sign of the current weakness of UK liberal centre that it's most popular commentators such as are ,0,its a sign of the current weakness of uk liberal centre that its most popular commentators such as are
has just given a speech exposing the flaws in our the PM's approach to the Brexit negotiations here> ,0,has just given a speech exposing the flaws in our the pms approach to the brexit negotiations here
Media never show anything against Maulvees Priests as dey have enough plots 2 defame Hindu saints. ,0,media never show anything against maulvees priests as dey have enough plots 2 defame hindu saints.
Bitch can't sleeep at all. Too much on my ,0,bitch cant sleeep at all. too much on my
'09 Obama - Listen up Racists Elections have consequences. Peaceful transition of power! If Dem's aren't Seditious… ,0,09 obama listen up racists elections have consequences. peaceful transition of power! if dems arent seditious
"Leave Hobby Lobby alone! God expressly stated no birth control and no gay marriage, but never said anything about ",0,"leave hobby lobby alone! god expressly stated no birth control and no gay marriage, but never said anything about"
bullshit asymmetry post feat. ,0,bullshit asymmetry post feat.
I'm a political opinionated patriotic secular liberal center kind of guy .... and I choose to speak for… ,0,im a political opinionated patriotic secular liberal center kind of guy .... and i choose to speak for
yeah this must hurt like a bitch ,0,yeah this must hurt like a bitch
"Pearl: To begin, this Holopearl will be your opponent. Holopearl: Level zero beginner set! Do you wish to engage in ",0,"pearl to begin, this holopearl will be your opponent. holopearl level zero beginner set! do you wish to engage in"
A huge legal 'flaw' in Brexit could make it vulnerable to a court challenge ,0,a huge legal flaw in brexit could make it vulnerable to a court challenge
Let's kill the childish lie that Labour supports the Tories on ,0,lets kill the childish lie that labour supports the tories on
Best thing for is back defending paedophile priests. Pell needs his help RIGHT now ,0,best thing for is back defending paedophile priests. pell needs his help right now
Third sign in three days Brexit is hurting the economy ,0,third sign in three days brexit is hurting the economy
"Donald Trump Is Not a ""Legitimate President"" JohnLewis is a TRAITOR to AMERICANS who voted for DJT! ",1,donald trump is not a legitimate president johnlewis is a traitor to americans who voted for djt!
Why you talking to your daddy like an underpaid ,0,why you talking to your daddy like an underpaid
"Hearts in Ireland | Ian Cathro talks Perry Kitchen, midfield reinforcements & Kyle Lafferty debut… ",0,"hearts in ireland ian cathro talks perry kitchen, midfield reinforcements kyle lafferty debut"
Good morning! Intense week of press coverage for The new Hotel on ,0,good morning! intense week of press coverage for the new hotel on
Lived experience vs ideology - Caller Tells Katie: Working With Migrants Changed My 'Liberal' Husband ,0,lived experience vs ideology caller tells katie working with migrants changed my liberal husband
Jdb Justin ,0,jdb justin
Death of talented teen footballer (16) from 'cocaine-like' designer drug is first recorded in Ireland… ,0,death of talented teen footballer 16 from cocainelike designer drug is first recorded in ireland
BBC News - Exorcism in Italy a job 'too scary' for young priests ,0,bbc news exorcism in italy a job too scary for young priests
If Obama did ANY of the lunatic things has done since taking office the would have literally set the White ,0,if obama did any of the lunatic things has done since taking office the would have literally set the white
"It's back with Southern Ireland, where it ",0,"its back with southern ireland, where it"
Obsessed with Obama who's presidency history will see as remarkable. 0 convictions from the black POTUS. How ,0,obsessed with obama whos presidency history will see as remarkable. 0 convictions from the black potus. how
gay ,0,gay
